Date,Time,Acc. Corrected Meter Reading (Sm3),Acc. Uncorrected Meter Reading (m3),Consumption (Sm3),Consumption (m3),Pressure (kPa),Temperature (°C),Conversion Factor,Contractual Conversion Factor,Z Factor
01/09/2023,0,"1,377.07","5,463.68","1,146.19",250.1346,475.68,24.12,4.5823,5.0226,0
01/09/2023,1,"1,378.41","5,463.97","1,341.05",293.6615,473.53,23.8,4.5666,5.0226,0
01/09/2023,2,"1,379.69","5,464.25","1,276.73",278.7844,474.52,23.51,4.5796,5.0226,0
01/09/2023,3,"1,380.56","5,464.44",865.3105,187.6714,478.14,24.05,4.6108,5.0226,0
01/09/2023,4,"1,381.44","5,464.63",886.0261,192.223,478.27,24.11,4.6094,5.0226,0
01/09/2023,5,"1,382.30","5,464.82",861.7406,186.9263,477.62,23.83,4.6101,5.0226,0
01/09/2023,6,"1,383.19","5,465.01",890.2841,192.9467,477.34,23.41,4.6141,5.0226,0
01/09/2023,7,"1,384.19","5,465.23","1,000.15",217.0435,476.61,23.17,4.6081,5.0226,0
01/09/2023,8,"1,385.27","5,465.46","1,077.98",234.3244,476.15,23.31,4.6004,5.0226,0
01/09/2023,9,"1,386.33","5,465.69","1,060.08",230.3572,476.37,23.39,4.6019,5.0226,0
01/09/2023,10,"1,387.44","5,465.93","1,108.73",241.5706,475.48,23.61,4.5897,5.0226,0
01/09/2023,11,"1,388.57","5,466.18","1,127.44",246.6919,474.43,24.14,4.5702,5.0226,0
01/09/2023,12,"1,389.77","5,466.44","1,199.39",263.2662,473.88,24.69,4.5558,5.0226,0
01/09/2023,13,"1,390.91","5,466.69","1,141.11",250.9253,474.04,25.33,4.5476,5.0226,0
01/09/2023,14,"1,391.88","5,466.91",973.058,213.9795,475.44,26.27,4.5474,5.0226,0
01/09/2023,15,"1,392.93","5,467.14","1,050.24",231.395,474.92,26.25,4.5387,5.0226,0
01/09/2023,16,"1,394.03","5,467.38","1,100.44",242.1833,474.69,25.94,4.5438,5.0226,0
01/09/2023,17,"1,395.13","5,467.62","1,098.06",241.9467,473.81,25.76,4.5384,5.0226,0
01/09/2023,18,"1,396.33","5,467.88","1,201.09",254.5889,494.47,25.6,4.7178,5.0226,0
01/09/2023,19,"1,397.57","5,468.13","1,237.10",252.0618,511.1,25.26,4.9079,5.0226,0
01/09/2023,20,"1,398.65","5,468.35","1,082.48",219.8825,512.27,25,4.923,5.0226,0
01/09/2023,21,"1,400.04","5,468.63","1,386.83",283.0231,509.11,24.61,4.9,5.0226,0
01/09/2023,22,"1,401.40","5,468.91","1,358.08",276.4763,509.53,24.19,4.9121,5.0226,0
01/09/2023,23,"1,402.32","5,469.10",926.6994,186.702,514.76,24.11,4.9635,5.0226,0
02/09/2023,0,"1,403.37","5,469.31","1,043.69",211.2542,512.53,24.16,4.9405,5.0226,0
02/09/2023,1,"1,404.69","5,469.58","1,327.49",270.2948,509.24,24.05,4.9113,5.0226,0
02/09/2023,2,"1,405.95","5,469.83","1,254.45",254.6891,510.47,23.83,4.9254,5.0226,0
02/09/2023,3,"1,407.08","5,470.06","1,134.56",229.3048,512.34,23.63,4.9478,5.0226,0
02/09/2023,4,"1,408.20","5,470.29","1,112.46",225.0632,511.65,23.63,4.9429,5.0226,0
02/09/2023,5,"1,409.35","5,470.52","1,157.16",234.1491,511.23,23.41,4.942,5.0226,0
02/09/2023,6,"1,410.55","5,470.76","1,197.63",242.5905,510.8,23.45,4.9368,5.0226,0
02/09/2023,7,"1,411.76","5,471.01","1,207.59",244.5307,510.84,23.41,4.9384,5.0226,0
02/09/2023,8,"1,412.74","5,471.21",981.9158,198.0179,512.97,23.44,4.9587,5.0226,0
02/09/2023,9,"1,413.82","5,471.42","1,079.87",218.3194,512.02,23.39,4.9463,5.0226,0
02/09/2023,10,"1,414.76","5,471.61",939.0001,188.9649,514.97,23.9,4.9692,5.0226,0
02/09/2023,11,"1,416.00","5,471.86","1,237.67",251.8203,510.74,24.64,4.9149,5.0226,0
02/09/2023,12,"1,417.31","5,472.13","1,313.88",268.3695,510.26,25.34,4.8958,5.0226,0
02/09/2023,13,"1,418.67","5,472.41","1,360.46",278.5022,509.42,25.64,4.8849,5.0226,0
02/09/2023,14,"1,420.13","5,472.71","1,462.47",300.3376,508.46,26.04,4.8694,5.0226,0
